member_id,cycle_year,join_year,tenure_years,member_age,country,chapter,membership_type,dues_amount,auto_renew_flag,events_12m,webinars_12m,courses_12m,website_sessions_90d,committee_member_flag,committee_leadership_flag,committee_leadership_role,committee_meetings_12m,community_logins_90d,email_open_rate,email_click_rate,support_tickets_12m,complaints_12m,donation_amount_12m,failed_payment_flag,invoice_age_days,renewal_due_date,renewal_date,label_renewed_within_60d,renewed_prev_year
M000011,2022,2008,14,78,USA,Midwest,Individual,176.99,0,1,2,2,5,1,0,,8,4,0.267,0.067,0,0,0.0,0,24,2022-08-13,2022-09-17,1,0
M000011,2023,2008,15,78,USA,Midwest,Individual,181.7,0,4,4,5,2,1,0,,10,1,0.272,0.069,0,1,0.0,0,30,2023-06-21,,0,1
M000011,2024,2008,16,78,USA,Midwest,Individual,192.44,0,0,2,3,0,0,0,,0,1,0.277,0.071,0,0,0.0,0,22,2024-07-13,2024-07-16,1,0
M000012,2022,2018,4,36,UK,Midwest,Nonprofit,438.84,1,4,1,1,1,1,0,,8,4,0.21,0.043,0,0,133.45,0,51,2022-06-03,2022-07-29,1,0
M000012,2023,2018,5,36,UK,Midwest,Nonprofit,470.8,1,4,3,0,4,0,0,,0,0,0.215,0.045,0,0,0.0,0,81,2023-03-31,2023-05-25,1,1
M000012,2024,2018,6,36,UK,Midwest,Nonprofit,496.82,1,1,4,0,4,0,0,,0,3,0.22,0.047,0,0,0.0,0,35,2024-09-25,,0,1
M000013,2022,2012,10,79,USA,At-Large,Individual,179.98,0,3,2,2,6,0,0,,0,2,0.211,0.04,0,0,0.0,0,88,2022-01-14,,0,0
M000013,2023,2012,11,79,USA,At-Large,Individual,181.07,0,1,1,1,7,0,0,,0,2,0.216,0.042,0,0,0.0,0,35,2023-12-10,2024-01-20,1,0
M000013,2024,2012,12,79,USA,At-Large,Individual,186.77,0,4,1,2,3,0,0,,0,4,0.221,0.044,0,0,0.0,0,38,2024-12-05,2025-01-05,1,1
M000014,2022,2009,13,62,Germany,At-Large,Individual,186.23,0,2,1,1,2,0,0,,0,1,0.24,0.054,0,0,0.0,0,89,2022-07-12,2022-08-19,1,0
M000014,2023,2009,14,62,Germany,At-Large,Individual,184.74,0,2,2,1,1,0,0,,0,3,0.245,0.056,0,0,0.0,1,109,2023-12-14,2023-12-23,1,1
M000014,2024,2009,15,62,Germany,At-Large,Individual,197.78,0,1,0,0,1,0,0,,0,4,0.25,0.058,0,0,0.0,0,85,2024-12-13,2025-01-11,1,1
M000015,2022,2016,6,50,USA,International,Student,49.79,0,0,0,2,0,0,0,,0,1,0.154,0.014,0,0,0.0,1,58,2022-06-20,,0,0
M000015,2023,2016,7,50,USA,International,Student,47.92,0,3,1,0,0,1,0,,3,1,0.159,0.016,0,0,0.0,0,24,2023-01-21,2023-02-20,1,0
M000015,2024,2016,8,50,USA,International,Student,53.73,0,5,4,1,1,0,0,,0,0,0.164,0.018,1,0,0.0,0,83,2024-04-26,,0,1
M000016,2022,2015,7,32,USA,Southwest,Corporate,875.08,0,3,3,0,0,0,0,,0,2,0.118,0.0,0,0,0.0,0,55,2022-09-09,,0,0
M000016,2023,2015,8,32,USA,Southwest,Corporate,891.49,0,0,0,0,3,0,0,,0,1,0.123,0.0,0,0,0.0,0,81,2023-02-01,2023-03-02,1,0
M000016,2024,2015,9,32,USA,Southwest,Corporate,979.16,0,3,1,0,3,0,0,,0,5,0.128,0.0,0,0,0.0,0,25,2024-04-05,2024-05-27,1,1
M000017,2022,2015,7,31,Australia,Mid-Atlantic,Corporate,866.46,0,8,2,1,6,0,0,,0,0,0.316,0.094,0,0,0.0,0,48,2022-04-30,2022-06-03,1,0
M000017,2023,2015,8,31,Australia,Mid-Atlantic,Corporate,926.21,0,4,0,0,4,0,0,,0,3,0.321,0.096,0,0,0.0,0,24,2023-09-11,,0,1
M000017,2024,2015,9,31,Australia,Mid-Atlantic,Corporate,1012.85,0,1,3,0,3,0,0,,0,3,0.326,0.098,0,0,0.0,0,43,2024-08-01,,0,0
M000018,2022,2021,1,23,UK,Northeast,Individual,180.4,1,0,0,1,0,0,0,,0,1,0.183,0.031,0,0,0.0,0,71,2022-07-31,2022-09-21,1,0
M000018,2023,2021,2,23,UK,Northeast,Individual,187.91,1,2,2,0,0,0,0,,0,3,0.188,0.033,0,1,0.0,0,7,2023-09-14,,0,1
M000018,2024,2021,3,23,UK,Northeast,Individual,192.19,1,6,1,1,4,0,0,,0,3,0.193,0.035,0,0,96.93,0,79,2024-09-23,2024-09-30,1,0
M000019,2022,2015,7,35,USA,Mid-Atlantic,Nonprofit,447.23,0,7,2,0,0,0,0,,0,3,0.457,0.165,2,0,220.49,0,59,2022-01-25,,0,0
M000019,2023,2015,8,35,USA,Mid-Atlantic,Nonprofit,459.14,0,5,2,1,1,1,0,,7,3,0.462,0.167,0,0,0.0,0,82,2023-07-28,2023-09-22,1,0
M000019,2024,2015,9,35,USA,Mid-Atlantic,Nonprofit,506.33,0,3,2,3,7,0,0,,0,3,0.467,0.169,0,0,0.0,0,65,2024-09-26,2024-11-04,1,1
M000020,2022,2009,13,40,USA,Southwest,Student,47.48,0,2,2,1,1,0,0,,0,1,0.201,0.034,0,0,0.0,0,73,2022-06-20,,0,0
M000020,2023,2009,14,40,USA,Southwest,Student,49.9,0,2,4,0,2,0,0,,0,1,0.206,0.036,0,0,0.0,0,45,2023-04-05,,0,0
M000020,2024,2009,15,40,USA,Southwest,Student,53.58,0,3,4,2,2,0,0,,0,2,0.211,0.038,0,0,0.0,1,136,2024-05-23,2024-06-11,1,0
M000021,2022,2018,4,36,USA,Mid-Atlantic,Student,51.08,0,1,2,1,0,0,0,,0,1,0.286,0.081,1,0,0.0,0,49,2022-10-22,,0,0
M000021,2023,2018,5,36,USA,Mid-Atlantic,Student,51.23,0,1,0,0,2,0,0,,0,0,0.291,0.083,0,0,0.0,0,89,2023-08-18,,0,0
M000021,2024,2018,6,36,USA,Mid-Atlantic,Student,54.98,0,2,1,1,1,0,0,,0,1,0.296,0.085,0,0,0.0,0,83,2024-05-31,2024-06-11,1,0
M000022,2022,2018,4,20,USA,Southeast,Individual,183.28,1,0,3,2,3,0,0,,0,1,0.21,0.043,0,0,351.51,0,32,2022-07-11,,0,0
M000022,2023,2018,5,20,USA,Southeast,Individual,186.01,1,2,2,1,1,1,0,,3,5,0.215,0.045,0,0,0.0,0,46,2023-03-01,,0,0
M000022,2024,2018,6,20,USA,Southeast,Individual,198.25,1,2,3,1,3,0,0,,0,3,0.22,0.047,0,0,0.0,0,105,2024-05-21,2024-07-09,1,0
M000023,2022,2021,1,25,USA,Southwest,Individual,175.82,0,1,2,1,2,1,0,,7,1,0.272,0.075,1,0,0.0,0,62,2022-12-21,2023-01-20,1,0
M000023,2023,2021,2,25,USA,Southwest,Individual,189.38,0,4,2,2,3,0,0,,0,2,0.277,0.077,1,0,0.0,0,70,2023-10-23,2023-10-23,1,1
M000023,2024,2021,3,25,USA,Southwest,Individual,190.33,0,3,2,2,5,0,0,,0,1,0.282,0.079,1,0,0.0,0,50,2024-12-03,,0,1
M000024,2022,2021,1,28,Brazil,Mid-Atlantic,Individual,177.59,0,0,0,1,1,0,0,,0,2,0.085,0.0,1,0,0.0,0,72,2022-05-05,,0,0
M000024,2023,2021,2,28,Brazil,Mid-Atlantic,Individual,184.82,0,1,1,0,1,0,0,,0,1,0.09,0.0,0,0,0.0,1,35,2023-05-20,,0,0
M000024,2024,2021,3,28,Brazil,Mid-Atlantic,Individual,200.02,0,0,0,0,2,0,0,,0,1,0.095,0.0,0,0,0.0,0,1,2024-01-20,2024-02-16,1,0
M000025,2022,2020,2,54,USA,At-Large,Individual,185.78,0,0,0,0,1,0,0,,0,3,0.082,0.0,0,0,0.0,0,78,2022-07-19,2022-07-26,1,0
M000025,2023,2020,3,54,USA,At-Large,Individual,189.01,0,0,0,1,6,0,0,,0,2,0.087,0.0,0,0,14.07,0,95,2023-03-29,2023-05-17,1,1
M000025,2024,2020,4,54,USA,At-Large,Individual,207.09,0,1,1,0,4,0,0,,0,0,0.092,0.0,0,0,59.78,0,71,2024-02-08,,0,1
M000026,2022,2020,2,78,USA,Northeast,Nonprofit,444.53,0,2,2,0,0,0,0,,0,0,0.204,0.041,0,0,0.0,0,81,2022-12-08,,0,0
M000026,2023,2020,3,78,USA,Northeast,Nonprofit,470.81,0,2,1,1,3,0,0,,0,4,0.209,0.043,0,0,0.0,0,40,2023-03-31,2023-04-01,1,0
M000026,2024,2020,4,78,USA,Northeast,Nonprofit,472.63,0,0,2,0,3,0,0,,0,2,0.214,0.045,0,0,0.0,0,116,2024-09-16,,0,1
M000027,2022,2015,7,35,USA,Mid-Atlantic,Premium,315.79,0,3,1,1,4,0,0,,0,3,0.225,0.049,1,0,0.0,0,59,2022-04-05,,0,0
M000027,2023,2015,8,35,USA,Mid-Atlantic,Premium,333.92,0,0,3,1,7,1,1,Treasurer,10,5,0.23,0.051,0,0,0.0,0,69,2023-10-29,2023-11-05,1,0
M000027,2024,2015,9,35,USA,Mid-Atlantic,Premium,327.83,0,4,2,0,3,1,0,,8,1,0.235,0.053,0,0,137.72,0,85,2024-07-06,,0,1
M000028,2022,2018,4,46,Brazil,At-Large,Individual,184.84,0,3,0,0,3,0,0,,0,3,0.277,0.076,0,0,0.0,0,90,2022-02-17,,0,0
M000028,2023,2018,5,46,Brazil,At-Large,Individual,180.15,0,1,5,2,3,0,0,,0,3,0.282,0.078,1,0,0.0,0,15,2023-07-31,2023-09-16,1,0
M000028,2024,2018,6,46,Brazil,At-Large,Individual,208.68,0,1,1,1,0,0,0,,0,2,0.287,0.08,1,0,0.0,0,80,2024-10-15,,0,1
M000029,2022,2018,4,39,USA,Mid-Atlantic,Premium,331.86,1,1,1,3,3,0,0,,0,6,0.363,0.119,0,0,166.0,0,103,2022-07-02,2022-08-09,1,0
M000029,2023,2018,5,39,USA,Mid-Atlantic,Premium,338.74,1,0,3,0,3,0,0,,0,3,0.368,0.121,0,0,0.0,0,83,2023-10-29,2023-11-08,1,1
M000029,2024,2018,6,39,USA,Mid-Atlantic,Premium,321.1,1,1,1,1,3,0,0,,0,2,0.373,0.123,0,0,0.0,0,91,2024-09-16,2024-10-15,1,1
M000030,2022,2015,7,68,USA,Midwest,Individual,184.45,0,4,0,0,2,0,0,,0,0,0.104,0.0,0,0,0.0,0,22,2022-01-08,2022-01-21,1,0
M000030,2023,2015,8,68,USA,Midwest,Individual,188.05,0,0,2,1,1,0,0,,0,1,0.109,0.0,0,0,0.0,0,116,2023-09-10,,0,1
M000030,2024,2015,9,68,USA,Midwest,Individual,190.62,0,0,3,1,1,0,0,,0,1,0.114,0.0,0,0,0.0,0,67,2024-04-26,,0,0
M000031,2022,2009,13,47,India,Mid-Atlantic,Corporate,925.45,0,2,3,0,4,0,0,,0,7,0.341,0.104,0,0,53.76,1,103,2022-05-09,2022-05-22,1,0
M000031,2023,2009,14,47,India,Mid-Atlantic,Corporate,955.09,0,6,4,1,3,0,0,,0,2,0.346,0.106,0,0,0.0,0,74,2023-06-06,,0,1
M000031,2024,2009,15,47,India,Mid-Atlantic,Corporate,976.25,0,4,3,3,1,0,0,,0,5,0.351,0.108,0,0,0.0,0,108,2024-11-25,2024-12-02,1,0
M000032,2022,2022,0,59,USA,International,Individual,179.22,1,1,2,1,3,0,0,,0,3,0.246,0.063,0,1,0.0,0,118,2022-02-11,,0,0
M000032,2023,2022,1,59,USA,International,Individual,192.48,1,2,4,1,5,0,0,,0,4,0.251,0.065,0,0,0.0,0,112,2023-11-29,,0,0
M000032,2024,2022,2,59,USA,International,Individual,189.85,1,2,0,1,1,0,0,,0,1,0.256,0.067,0,0,0.0,0,105,2024-01-05,,0,0
M000033,2022,2024,0,19,USA,At-Large,Student,49.84,0,0,0,1,4,0,0,,0,4,0.186,0.033,0,1,0.0,0,115,2022-01-06,,0,0
M000033,2023,2024,0,19,USA,At-Large,Student,51.75,0,2,1,0,1,0,0,,0,1,0.186,0.033,0,0,0.0,0,3,2023-11-28,,0,0
M000033,2024,2024,0,19,USA,At-Large,Student,55.08,0,2,1,0,2,0,0,,0,1,0.186,0.033,0,0,0.0,0,113,2024-04-04,2024-04-09,1,0
M000034,2022,2016,6,59,Canada,Midwest,Individual,181.63,0,3,1,0,4,0,0,,0,3,0.37,0.122,0,0,0.0,0,77,2022-11-10,,0,0
M000034,2023,2016,7,59,Canada,Midwest,Individual,181.07,0,3,1,0,6,0,0,,0,0,0.375,0.124,0,0,0.0,0,38,2023-10-05,,0,0
M000034,2024,2016,8,59,Canada,Midwest,Individual,188.08,0,4,0,0,5,0,0,,0,5,0.38,0.126,0,0,314.94,0,3,2024-12-23,2025-02-01,1,0
M000035,2022,2012,10,53,USA,Southeast,Individual,187.93,1,4,4,0,2,0,0,,0,1,0.15,0.01,0,0,0.0,0,6,2022-08-08,2022-09-21,1,0
M000035,2023,2012,11,53,USA,Southeast,Individual,188.32,1,3,2,0,3,0,0,,0,5,0.155,0.012,0,0,0.0,0,101,2023-05-09,2023-06-07,1,1
M000035,2024,2012,12,53,USA,Southeast,Individual,200.59,1,4,3,1,4,0,0,,0,2,0.16,0.014,1,0,0.0,0,70,2024-05-23,,0,1
M000036,2022,2016,6,34,Germany,Midwest,Individual,177.78,0,1,0,0,4,0,0,,0,0,0.122,0.0,0,0,0.0,0,40,2022-09-06,,0,0
M000036,2023,2016,7,34,Germany,Midwest,Individual,180.43,0,0,2,0,2,0,0,,0,2,0.127,0.0,0,0,0.0,1,106,2023-03-28,,0,0
M000036,2024,2016,8,34,Germany,Midwest,Individual,191.84,0,1,1,0,2,1,0,,6,1,0.132,0.002,2,0,0.0,0,23,2024-02-25,,0,0
M000037,2022,2023,0,78,USA,Southwest,Premium,343.48,0,1,2,1,2,0,0,,0,1,0.09,0.0,1,0,102.52,0,70,2022-05-30,,0,0
M000037,2023,2023,0,78,USA,Southwest,Premium,343.03,0,0,5,0,1,0,0,,0,2,0.09,0.0,0,0,0.0,0,51,2023-07-19,,0,0
M000037,2024,2023,1,78,USA,Southwest,Premium,341.86,0,1,0,0,0,0,0,,0,2,0.095,0.0,0,0,0.0,0,20,2024-09-08,2024-09-24,1,0
M000038,2022,2022,0,45,USA,Northeast,Individual,174.48,1,0,2,1,2,0,0,,0,2,0.198,0.039,0,0,0.0,0,104,2022-02-27,,0,0
M000038,2023,2022,1,45,USA,Northeast,Individual,181.29,1,3,4,0,5,0,0,,0,2,0.203,0.041,0,0,0.0,0,9,2023-04-17,2023-05-19,1,0
M000038,2024,2022,2,45,USA,Northeast,Individual,194.66,1,1,2,0,2,0,0,,0,1,0.208,0.043,1,0,0.0,1,32,2024-01-29,,0,1
M000039,2022,2018,4,44,USA,Northeast,Premium,315.34,0,0,2,1,1,1,0,,5,4,0.276,0.076,0,1,0.0,0,12,2022-11-05,,0,0
M000039,2023,2018,5,44,USA,Northeast,Premium,321.69,0,1,3,1,4,0,0,,0,1,0.281,0.078,1,0,0.0,0,0,2023-09-08,,0,0
M000039,2024,2018,6,44,USA,Northeast,Premium,353.97,0,2,4,1,2,1,0,,9,5,0.286,0.08,0,1,0.0,0,49,2024-09-16,,0,0
M000040,2022,2019,3,58,USA,Northeast,Individual,182.64,0,0,0,1,1,0,0,,0,4,0.082,0.0,0,0,0.0,0,14,2022-08-27,,0,0
M000040,2023,2019,4,58,USA,Northeast,Individual,183.74,0,0,0,0,1,0,0,,0,1,0.087,0.0,0,0,0.0,0,35,2023-03-20,2023-04-05,1,0
M000040,2024,2019,5,58,USA,Northeast,Individual,192.43,0,0,1,0,2,1,0,,4,3,0.092,0.0,0,0,0.0,0,108,2024-06-03,,0,1
M000041,2022,2019,3,52,USA,Southwest,Individual,182.59,0,1,2,0,5,0,0,,0,4,0.345,0.111,0,0,76.59,0,2,2022-04-22,,0,0
M000041,2023,2019,4,52,USA,Southwest,Individual,186.8,0,2,1,2,2,0,0,,0,5,0.35,0.113,0,0,0.0,0,17,2023-01-16,,0,0
M000041,2024,2019,5,52,USA,Southwest,Individual,184.98,0,2,3,1,2,0,0,,0,3,0.355,0.115,0,0,190.72,0,74,2024-08-13,,0,0
M000042,2022,2011,11,21,USA,Southeast,Premium,322.91,0,4,0,1,6,0,0,,0,1,0.23,0.049,0,0,0.0,0,73,2022-02-10,,0,0
M000042,2023,2011,12,21,USA,Southeast,Premium,333.81,0,1,1,1,2,0,0,,0,1,0.235,0.051,1,0,0.0,0,15,2023-12-25,,0,0
M000042,2024,2011,13,21,USA,Southeast,Premium,323.67,0,1,5,2,4,0,0,,0,2,0.24,0.053,0,0,0.0,0,69,2024-06-07,,0,0
M000043,2022,2008,14,20,Canada,Mid-Atlantic,Student,48.58,0,4,0,0,3,0,0,,0,5,0.3,0.083,1,0,0.0,0,37,2022-03-31,,0,0
M000043,2023,2008,15,20,Canada,Mid-Atlantic,Student,53.33,0,2,6,1,4,0,0,,0,5,0.305,0.085,1,0,126.43,0,84,2023-02-26,2023-03-10,1,0
M000043,2024,2008,16,20,Canada,Mid-Atlantic,Student,54.11,0,2,1,2,2,0,0,,0,2,0.31,0.087,1,0,0.0,0,98,2024-01-31,,0,1
M000044,2022,2012,10,41,USA,Mid-Atlantic,Individual,186.7,0,4,3,0,2,0,0,,0,7,0.362,0.116,0,1,0.0,0,61,2022-04-08,2022-05-26,1,0
M000044,2023,2012,11,41,USA,Mid-Atlantic,Individual,179.16,0,2,5,0,3,0,0,,0,2,0.367,0.118,0,1,0.0,0,36,2023-03-06,,0,1
M000044,2024,2012,12,41,USA,Mid-Atlantic,Individual,197.67,0,3,2,1,8,0,0,,0,1,0.372,0.12,0,0,0.0,0,31,2024-12-16,,0,0
M000045,2022,2010,12,59,Germany,West,Individual,178.2,1,4,2,1,5,0,0,,0,3,0.376,0.122,0,0,0.0,1,42,2022-03-29,,0,0
M000045,2023,2010,13,59,Germany,West,Individual,189.36,1,2,3,2,5,1,0,,8,3,0.381,0.124,0,0,0.0,0,15,2023-09-26,2023-11-01,1,0
M000045,2024,2010,14,59,Germany,West,Individual,195.43,1,1,3,3,10,0,0,,0,3,0.386,0.126,0,1,118.56,0,118,2024-08-15,2024-09-20,1,1
M000046,2022,2018,4,62,USA,At-Large,Individual,181.25,1,0,1,2,5,1,0,,3,0,0.193,0.034,0,0,0.0,0,82,2022-01-01,2022-02-07,1,0
M000046,2023,2018,5,62,USA,At-Large,Individual,180.19,1,3,2,0,2,1,0,,10,2,0.198,0.036,0,0,0.0,0,106,2023-07-24,2023-08-27,1,1
M000046,2024,2018,6,62,USA,At-Large,Individual,178.03,1,1,0,2,2,0,0,,0,1,0.203,0.038,0,0,0.0,0,17,2024-09-21,2024-10-22,1,1
M000047,2022,2016,6,43,USA,Mid-Atlantic,Retired,92.36,0,2,3,0,2,0,0,,0,2,0.103,0.0,0,0,0.0,0,83,2022-04-19,2022-05-16,1,0
M000047,2023,2016,7,43,USA,Mid-Atlantic,Retired,95.84,0,0,1,0,1,1,0,,4,3,0.108,0.0,0,0,0.0,0,2,2023-05-19,2023-05-24,1,1
M000047,2024,2016,8,43,USA,Mid-Atlantic,Retired,97.21,0,0,0,0,1,0,0,,0,2,0.113,0.0,0,0,0.0,0,105,2024-04-05,,0,1
M000048,2022,2015,7,73,USA,Southeast,Nonprofit,457.83,0,1,3,3,4,0,0,,0,0,0.331,0.102,1,0,0.0,0,85,2022-07-30,2022-09-01,1,0
M000048,2023,2015,8,73,USA,Southeast,Nonprofit,474.8,0,0,2,0,2,0,0,,0,4,0.336,0.104,0,0,0.0,0,59,2023-02-01,2023-03-01,1,1
M000048,2024,2015,9,73,USA,Southeast,Nonprofit,475.64,0,1,1,1,4,1,1,Vice Chair,12,2,0.341,0.106,0,0,0.0,0,40,2024-02-06,2024-03-17,1,1
M000049,2022,2014,8,66,USA,West,Individual,181.55,1,3,2,2,3,1,1,Secretary,8,4,0.073,0.0,0,0,0.0,0,109,2022-09-11,,0,0
M000049,2023,2014,9,66,USA,West,Individual,183.48,1,0,1,0,2,0,0,,0,2,0.078,0.0,0,0,0.0,0,103,2023-09-24,,0,0
M000049,2024,2014,10,66,USA,West,Individual,188.07,1,2,4,0,4,0,0,,0,0,0.083,0.0,0,0,0.0,0,102,2024-09-08,,0,0
M000050,2022,2015,7,30,USA,Northeast,Individual,164.59,0,0,3,0,6,1,0,,6,1,0.245,0.059,0,0,0.0,0,73,2022-11-24,,0,0
M000050,2023,2015,8,30,USA,Northeast,Individual,182.44,0,1,5,0,1,0,0,,0,4,0.25,0.061,0,0,0.0,0,103,2023-05-06,,0,0
M000050,2024,2015,9,30,USA,Northeast,Individual,185.01,0,2,1,1,1,0,0,,0,2,0.255,0.063,0,0,67.97,1,40,2024-03-29,,0,0
M000051,2022,2013,9,79,USA,International,Retired,85.52,0,5,0,1,2,0,0,,0,3,0.269,0.07,0,0,77.27,0,11,2022-08-27,,0,0
M000051,2023,2013,10,79,USA,International,Retired,91.53,0,2,4,0,1,1,0,,4,3,0.274,0.072,0,0,0.0,0,46,2023-09-27,,0,0
M000051,2024,2013,11,79,USA,International,Retired,94.48,0,2,3,1,3,0,0,,0,1,0.279,0.074,0,0,0.0,1,79,2024-01-28,2024-03-25,1,0
M000052,2022,2023,0,59,Australia,International,Individual,183.52,0,0,1,0,1,0,0,,0,3,0.135,0.008,0,0,0.0,0,6,2022-01-08,2022-01-14,1,0
M000052,2023,2023,0,59,Australia,International,Individual,193.22,0,0,2,0,3,0,0,,0,1,0.135,0.008,0,0,0.0,0,62,2023-10-18,,0,1
M000052,2024,2023,1,59,Australia,International,Individual,193.51,0,0,0,0,0,0,0,,0,1,0.14,0.01,0,0,0.0,0,86,2024-10-23,2024-11-30,1,0
M000053,2022,2024,0,47,Australia,At-Large,Individual,175.88,0,0,1,2,0,0,0,,0,0,0.077,0.0,0,0,0.0,0,13,2022-01-10,,0,0
M000053,2023,2024,0,47,Australia,At-Large,Individual,191.1,0,0,1,0,4,1,0,,4,1,0.077,0.0,0,0,0.0,0,77,2023-03-22,2023-03-31,1,0
M000053,2024,2024,0,47,Australia,At-Large,Individual,194.14,0,1,0,0,2,0,0,,0,1,0.077,0.0,1,0,0.0,0,39,2024-12-07,2025-01-16,1,1
M000054,2022,2022,0,70,USA,International,Premium,322.25,1,1,1,1,2,0,0,,0,1,0.189,0.034,0,1,0.0,0,72,2022-03-18,,0,0
