member_id,cycle_year,join_year,tenure_years,member_age,country,chapter,membership_type,dues_amount,auto_renew_flag,events_12m,webinars_12m,courses_12m,website_sessions_90d,committee_member_flag,committee_leadership_flag,committee_leadership_role,committee_meetings_12m,community_logins_90d,email_open_rate,email_click_rate,support_tickets_12m,complaints_12m,donation_amount_12m,failed_payment_flag,invoice_age_days,renewal_due_date,renewal_date,label_renewed_within_60d,renewed_prev_year
M000019,2025,2015,10,35,USA,Mid-Atlantic,Nonprofit,480.08,0,2,2,1,7,0,0,,0,1,0.472,0.171,1,1,0.0,0,43,2025-04-03,,,1
M000020,2025,2009,16,40,USA,Southwest,Student,56.99,0,6,0,2,5,0,0,,0,5,0.216,0.04,2,0,0.0,0,70,2025-12-29,,,1
M000021,2025,2018,7,36,USA,Mid-Atlantic,Student,55.0,0,3,3,0,1,0,0,,0,4,0.301,0.087,0,0,330.55,0,103,2025-11-01,,,1
M000022,2025,2018,7,20,USA,Southeast,Individual,198.01,1,2,5,0,2,0,0,,0,6,0.225,0.049,1,1,243.92,0,44,2025-02-01,,,1
M000023,2025,2021,4,25,USA,Southwest,Individual,195.07,0,0,4,0,2,0,0,,0,2,0.287,0.081,0,0,0.0,0,67,2025-01-02,,,0
M000024,2025,2021,4,28,Brazil,Mid-Atlantic,Individual,196.25,0,1,0,1,0,1,0,,5,0,0.1,0.0,0,0,213.46,0,54,2025-09-24,,,1
M000025,2025,2020,5,54,USA,At-Large,Individual,201.65,0,0,1,0,3,1,1,Chair,8,0,0.097,0.0,1,1,0.0,0,55,2025-07-01,,,0
M000026,2025,2020,5,78,USA,Northeast,Nonprofit,517.76,0,2,2,1,3,0,0,,0,1,0.219,0.047,0,0,316.19,0,82,2025-02-25,,,0
M000027,2025,2015,10,35,USA,Mid-Atlantic,Premium,356.77,0,3,1,2,4,0,0,,0,3,0.24,0.055,1,0,0.0,0,21,2025-06-04,,,0
M000028,2025,2018,7,46,Brazil,At-Large,Individual,196.63,0,5,0,0,7,0,0,,0,3,0.292,0.082,0,0,54.06,0,119,2025-08-01,,,0
M000029,2025,2018,7,39,USA,Mid-Atlantic,Premium,339.11,1,3,2,1,1,0,0,,0,2,0.378,0.125,0,0,0.0,0,88,2025-07-02,,,1
M000030,2025,2015,10,68,USA,Midwest,Individual,191.16,0,2,2,0,3,0,0,,0,2,0.119,0.0,0,0,0.0,0,95,2025-11-08,,,0
M000031,2025,2009,16,47,India,Mid-Atlantic,Corporate,989.28,0,3,2,0,2,0,0,,0,8,0.356,0.11,0,0,0.0,0,114,2025-08-14,,,1
M000032,2025,2022,3,59,USA,International,Individual,204.97,1,3,1,0,6,0,0,,0,4,0.261,0.069,0,0,0.0,0,20,2025-03-08,,,0
M000033,2025,2024,1,19,USA,At-Large,Student,55.88,0,3,1,1,0,0,0,,0,0,0.191,0.035,0,0,0.0,0,51,2025-10-01,,,1
M000034,2025,2016,9,59,Canada,Midwest,Individual,197.84,0,3,3,1,2,0,0,,0,3,0.385,0.128,0,0,0.0,0,7,2025-02-21,,,1
M000035,2025,2012,13,53,USA,Southeast,Individual,193.86,1,2,2,0,1,0,0,,0,2,0.165,0.016,0,0,0.0,0,50,2025-02-26,,,0
M000036,2025,2016,9,34,Germany,Midwest,Individual,207.22,0,0,3,0,1,0,0,,0,3,0.137,0.004,1,0,393.06,0,104,2025-11-06,,,0
M000037,2025,2023,2,78,USA,Southwest,Premium,353.53,0,0,0,0,0,1,1,Secretary,3,1,0.1,0.0,0,0,0.0,0,105,2025-12-09,,,1
M000038,2025,2022,3,45,USA,Northeast,Individual,181.2,1,1,2,2,3,0,0,,0,4,0.213,0.045,0,0,0.0,0,92,2025-10-14,,,0
M000039,2025,2018,7,44,USA,Northeast,Premium,364.38,0,4,5,2,5,0,0,,0,6,0.291,0.082,0,0,0.0,0,1,2025-06-23,,,0
M000040,2025,2019,6,58,USA,Northeast,Individual,201.46,0,2,2,0,1,0,0,,0,3,0.097,0.0,0,0,113.27,0,1,2025-11-19,,,0
M000041,2025,2019,6,52,USA,Southwest,Individual,186.81,0,2,0,3,1,0,0,,0,1,0.36,0.117,0,0,0.0,0,59,2025-11-03,,,0
M000042,2025,2011,14,21,USA,Southeast,Premium,353.72,0,2,1,1,1,0,0,,0,4,0.245,0.055,0,0,0.0,0,55,2025-05-12,,,0
M000043,2025,2008,17,20,Canada,Mid-Atlantic,Student,54.74,0,1,4,1,5,1,0,,11,5,0.315,0.089,0,0,0.0,0,104,2025-09-05,,,0
M000044,2025,2012,13,41,USA,Mid-Atlantic,Individual,198.94,0,6,2,2,6,0,0,,0,5,0.377,0.122,0,0,306.18,0,16,2025-04-14,,,0
M000045,2025,2010,15,59,Germany,West,Individual,196.21,1,4,3,2,2,0,0,,0,2,0.391,0.128,1,0,0.0,0,10,2025-02-21,,,1
M000046,2025,2018,7,62,USA,At-Large,Individual,191.65,1,1,4,1,2,0,0,,0,3,0.208,0.04,0,1,0.0,0,58,2025-03-04,,,1
M000047,2025,2016,9,43,USA,Mid-Atlantic,Retired,99.97,0,0,1,1,3,0,0,,0,4,0.118,0.0,0,0,147.36,0,119,2025-08-15,,,0
M000048,2025,2015,10,73,USA,Southeast,Nonprofit,486.55,0,6,5,1,3,0,0,,0,0,0.346,0.108,0,0,0.0,0,107,2025-10-27,,,1
M000049,2025,2014,11,66,USA,West,Individual,184.93,1,2,1,0,2,0,0,,0,1,0.088,0.0,1,0,0.0,0,46,2025-06-04,,,0
M000050,2025,2015,10,30,USA,Northeast,Individual,196.22,0,2,3,0,3,0,0,,0,3,0.26,0.065,0,0,0.0,0,39,2025-09-17,,,0
M000051,2025,2013,12,79,USA,International,Retired,99.74,0,0,3,2,4,0,0,,0,3,0.284,0.076,0,0,0.0,0,89,2025-08-30,,,1
M000052,2025,2023,2,59,Australia,International,Individual,182.41,0,0,0,0,6,0,0,,0,1,0.145,0.012,0,0,0.0,0,24,2025-10-01,,,1
M000053,2025,2024,1,47,Australia,At-Large,Individual,198.69,0,0,2,1,2,0,0,,0,2,0.082,0.0,0,0,0.0,0,47,2025-07-11,,,1
M000054,2025,2022,3,70,USA,International,Premium,350.13,1,0,3,1,2,0,0,,0,3,0.204,0.04,0,0,0.0,0,26,2025-11-23,,,0
M000055,2025,2015,10,56,Germany,Midwest,Retired,98.2,0,3,2,1,4,0,0,,0,0,0.077,0.0,2,0,0.0,0,84,2025-06-01,,,0
M000056,2025,2014,11,33,USA,Mid-Atlantic,Student,50.98,0,3,2,0,2,0,0,,0,0,0.253,0.061,1,0,0.0,0,74,2025-03-28,,,0
M000057,2025,2010,15,42,USA,Midwest,Individual,201.37,1,2,3,3,4,0,0,,0,4,0.249,0.057,1,0,0.0,0,107,2025-07-16,,,1
M000058,2025,2018,7,26,USA,Northeast,Premium,358.18,0,3,2,3,4,1,0,,6,3,0.421,0.147,1,0,0.0,0,75,2025-03-27,,,0
M000059,2025,2012,13,31,UK,Mid-Atlantic,Individual,194.07,0,0,0,1,5,0,0,,0,5,0.216,0.041,0,1,0.0,0,113,2025-12-01,,,1
M000060,2025,2020,5,60,USA,Northeast,Student,51.63,0,2,2,0,3,0,0,,0,2,0.2,0.038,1,0,0.0,1,35,2025-11-15,,,0
M000061,2025,2020,5,65,Canada,At-Large,Premium,345.08,0,4,0,0,3,0,0,,0,2,0.341,0.108,0,1,0.0,0,39,2025-08-05,,,1
M000062,2025,2011,14,58,USA,Southwest,Student,54.1,0,3,3,1,4,0,0,,0,3,0.269,0.067,0,0,0.0,0,51,2025-10-10,,,1
M000063,2025,2024,1,74,USA,West,Corporate,1007.99,1,2,0,1,4,0,0,,0,0,0.277,0.078,0,0,0.0,0,102,2025-07-22,,,1
M000064,2025,2018,7,20,Germany,West,Individual,204.43,0,5,4,0,0,0,0,,0,2,0.297,0.085,0,0,0.0,0,101,2025-01-14,,,0
M000065,2025,2010,15,41,USA,West,Individual,197.82,0,1,2,0,1,1,0,,13,4,0.236,0.05,0,0,0.0,1,63,2025-06-28,,,1
M000066,2025,2017,8,61,USA,Southeast,Individual,197.09,0,4,4,2,4,0,0,,0,1,0.18,0.026,0,0,0.0,0,55,2025-09-18,,,1
M000067,2025,2011,14,66,USA,Midwest,Premium,343.45,1,5,2,0,4,0,0,,0,2,0.339,0.103,0,0,0.0,0,0,2025-07-19,,,1
M000068,2025,2008,17,74,USA,Mid-Atlantic,Individual,192.42,0,4,4,0,5,1,0,,15,3,0.344,0.103,0,0,0.0,0,36,2025-12-19,,,0
M000069,2025,2018,7,69,USA,Mid-Atlantic,Individual,192.89,0,2,5,1,2,0,0,,0,4,0.218,0.046,0,0,0.0,0,50,2025-06-03,,,1
M000070,2025,2013,12,73,USA,At-Large,Individual,201.07,0,3,2,1,1,1,0,,8,3,0.279,0.074,1,0,0.0,0,36,2025-06-16,,,0
M000071,2025,2012,13,49,USA,Mid-Atlantic,Nonprofit,466.48,1,3,1,1,1,0,0,,0,6,0.241,0.054,0,0,0.0,0,106,2025-05-20,,,1
M000072,2025,2010,15,57,USA,At-Large,Premium,334.94,1,2,4,2,0,0,0,,0,2,0.157,0.011,0,0,0.0,0,2,2025-05-12,,,0
M000073,2025,2012,13,51,USA,Mid-Atlantic,Individual,199.99,0,3,2,0,1,0,0,,0,2,0.206,0.037,0,0,0.0,0,48,2025-06-08,,,0
M000074,2025,2024,1,53,USA,Midwest,Individual,205.33,0,3,2,2,0,0,0,,0,0,0.22,0.049,0,0,0.0,0,46,2025-06-21,,,1
M000075,2025,2016,9,31,Canada,Southeast,Individual,203.47,0,1,3,0,4,0,0,,0,3,0.296,0.084,0,0,0.0,0,10,2025-01-29,,,1
M000076,2025,2023,2,79,USA,West,Student,55.14,0,2,2,0,2,0,0,,0,2,0.164,0.021,0,0,0.0,0,61,2025-12-02,,,0
M000077,2025,2020,5,30,USA,Southeast,Individual,194.64,1,1,0,0,4,0,0,,0,2,0.239,0.057,0,0,0.0,0,60,2025-11-22,,,0
M000078,2025,2008,17,54,USA,At-Large,Individual,200.35,0,1,0,1,6,0,0,,0,2,0.258,0.061,0,0,0.0,0,116,2025-10-25,,,1
M000079,2025,2015,10,49,USA,Northeast,Retired,103.85,0,3,3,0,3,0,0,,0,2,0.164,0.017,0,0,110.64,0,103,2025-08-25,,,1
M000080,2025,2010,15,23,USA,Southeast,Corporate,976.29,0,2,3,1,2,1,0,,10,6,0.246,0.055,0,0,0.0,0,31,2025-04-16,,,1
M000081,2025,2016,9,77,Brazil,Mid-Atlantic,Individual,198.81,1,0,4,2,4,0,0,,0,3,0.227,0.049,0,0,0.0,0,45,2025-10-09,,,1
M000082,2025,2016,9,59,India,Northeast,Individual,197.46,1,3,3,0,2,0,0,,0,0,0.165,0.018,0,0,0.0,0,84,2025-03-11,,,0
M000083,2025,2009,16,44,USA,Southwest,Nonprofit,494.37,1,3,4,0,2,0,0,,0,3,0.24,0.052,0,0,0.0,0,10,2025-09-28,,,1
M000084,2025,2021,4,49,USA,International,Individual,202.65,1,0,2,1,2,1,1,Treasurer,9,1,0.234,0.055,0,0,0.0,0,106,2025-08-22,,,0
M000085,2025,2020,5,38,USA,Midwest,Individual,198.91,0,2,3,2,2,0,0,,0,2,0.164,0.019,0,0,0.0,0,59,2025-09-05,,,0
M000086,2025,2023,2,77,USA,West,Individual,212.08,1,1,0,0,1,0,0,,0,1,0.054,0.0,0,0,0.0,0,61,2025-11-17,,,0
M000087,2025,2011,14,41,Canada,Mid-Atlantic,Individual,199.18,0,3,4,0,4,1,0,,6,3,0.256,0.061,0,1,0.0,0,35,2025-06-22,,,1
M000088,2025,2017,8,72,USA,Southwest,Individual,195.71,0,2,2,1,3,0,0,,0,2,0.197,0.034,0,0,20.15,0,111,2025-04-20,,,0
M000089,2025,2024,1,29,USA,West,Corporate,929.61,0,2,0,0,1,0,0,,0,1,0.306,0.093,0,0,0.0,0,116,2025-02-18,,,0
M000090,2025,2012,13,21,USA,At-Large,Individual,200.95,0,4,2,1,2,0,0,,0,1,0.246,0.056,0,0,0.0,0,1,2025-08-30,,,1
M000091,2025,2014,11,66,Canada,Midwest,Corporate,968.25,1,4,1,2,3,0,0,,0,2,0.179,0.024,0,0,0.0,0,118,2025-10-20,,,0
M000092,2025,2014,11,39,Brazil,Southeast,Individual,186.22,1,3,2,3,2,0,0,,0,5,0.169,0.019,0,0,0.0,0,116,2025-09-05,,,1
M000093,2025,2014,11,80,USA,West,Individual,204.61,0,5,4,1,5,0,0,,0,4,0.388,0.129,1,0,0.0,0,64,2025-03-24,,,1
M000094,2025,2015,10,20,India,Southwest,Corporate,979.91,1,2,1,0,2,0,0,,0,3,0.086,0.0,0,1,0.0,0,61,2025-07-26,,,0
M000095,2025,2024,1,53,Australia,Southwest,Individual,197.82,0,1,0,1,5,0,0,,0,3,0.296,0.087,0,1,0.0,1,125,2025-01-06,,,0
M000096,2025,2024,1,31,USA,Southwest,Individual,198.65,0,1,7,0,1,0,0,,0,2,0.266,0.073,0,0,0.0,0,76,2025-06-10,,,0
M000097,2025,2024,1,19,USA,Southwest,Retired,100.4,1,1,1,0,1,0,0,,0,0,0.177,0.028,0,0,0.0,0,111,2025-09-07,,,1
M000098,2025,2018,7,27,USA,Northeast,Corporate,994.01,1,2,4,0,3,0,0,,0,4,0.319,0.096,0,0,0.0,0,98,2025-04-19,,,0
M000099,2025,2023,2,44,UK,Midwest,Retired,98.07,1,0,0,0,1,0,0,,0,0,0.06,0.0,0,0,63.21,0,70,2025-10-21,,,0
M000100,2025,2022,3,36,USA,Northeast,Individual,191.09,1,2,3,0,3,0,0,,0,2,0.256,0.066,0,0,0.0,0,67,2025-10-26,,,1
M000101,2025,2022,3,22,USA,International,Student,55.94,1,1,0,0,4,0,0,,0,1,0.206,0.041,0,0,0.0,0,38,2025-04-27,,,0
M000102,2025,2013,12,60,USA,Southeast,Premium,339.34,1,5,2,1,2,0,0,,0,3,0.326,0.097,0,0,281.74,0,85,2025-11-17,,,0
M000103,2025,2020,5,33,Germany,Northeast,Individual,194.5,0,0,3,0,4,0,0,,0,2,0.28,0.078,0,0,0.0,0,68,2025-01-11,,,0
M000104,2025,2020,5,29,USA,Mid-Atlantic,Individual,192.95,1,1,0,1,1,0,0,,0,0,0.169,0.022,0,0,18.95,0,25,2025-09-26,,,1
M000105,2025,2016,9,48,USA,International,Individual,193.22,0,4,2,1,2,0,0,,0,2,0.331,0.101,1,0,0.0,0,92,2025-11-05,,,1
M000106,2025,2009,16,22,USA,West,Individual,202.94,0,7,2,1,2,0,0,,0,5,0.301,0.083,0,0,0.0,0,99,2025-07-04,,,0
M000107,2025,2013,12,29,India,At-Large,Individual,203.17,0,1,2,3,2,0,0,,0,2,0.307,0.088,0,0,0.0,0,7,2025-09-29,,,0
M000108,2025,2017,8,24,USA,Northeast,Student,53.2,0,2,1,0,5,0,0,,0,2,0.171,0.022,0,0,0.0,0,67,2025-11-21,,,0
M000109,2025,2019,6,43,USA,Mid-Atlantic,Corporate,1006.27,1,2,2,2,3,0,0,,0,4,0.329,0.102,1,0,0.0,0,69,2025-03-10,,,1
M000110,2025,2013,12,49,Canada,West,Individual,200.02,1,3,4,0,1,1,0,,7,1,0.273,0.071,0,0,0.0,0,119,2025-06-21,,,1
M000111,2025,2009,16,64,Brazil,International,Student,55.56,0,3,0,2,7,0,0,,0,2,0.295,0.079,0,0,0.0,0,2,2025-09-12,,,0
M000112,2025,2018,7,33,USA,Mid-Atlantic,Student,56.56,1,1,3,1,4,0,0,,0,3,0.219,0.046,0,0,0.0,0,102,2025-03-24,,,0
M000113,2025,2023,2,35,USA,Midwest,Individual,200.8,0,0,0,0,0,0,0,,0,4,0.076,0.0,0,0,0.0,0,107,2025-04-09,,,0
M000114,2025,2012,13,72,Australia,Southwest,Individual,194.12,0,2,1,0,2,0,0,,0,5,0.142,0.005,0,0,0.0,0,37,2025-12-11,,,1
M000115,2025,2021,4,55,USA,West,Corporate,968.35,0,0,2,0,2,0,0,,0,3,0.25,0.063,0,0,0.0,0,45,2025-04-03,,,0
M000116,2025,2017,8,30,Germany,Midwest,Individual,190.46,1,2,3,1,1,0,0,,0,1,0.202,0.037,0,0,0.0,0,1,2025-01-04,,,1
M000117,2025,2022,3,23,USA,Midwest,Retired,96.89,0,1,1,1,3,0,0,,0,2,0.226,0.052,0,0,0.0,0,63,2025-08-09,,,1
M000118,2025,2020,5,45,USA,Southwest,Individual,199.93,0,1,2,0,1,0,0,,0,3,0.136,0.006,0,0,0.0,0,103,2025-08-24,,,0
M000119,2025,2014,11,27,USA,International,Nonprofit,489.36,0,1,4,0,5,0,0,,0,5,0.129,0.0,0,0,0.0,0,63,2025-03-19,,,0
M000120,2025,2008,17,78,USA,Midwest,Individual,191.38,0,3,3,0,5,0,0,,0,2,0.242,0.053,0,0,0.0,0,59,2025-01-14,,,1
M000121,2025,2019,6,64,USA,Northeast,Nonprofit,481.79,0,2,2,2,1,0,0,,0,3,0.086,0.0,0,0,0.0,1,56,2025-07-16,,,0
M000122,2025,2010,15,45,USA,West,Nonprofit,474.23,0,4,6,2,4,0,0,,0,2,0.317,0.091,1,0,0.0,0,74,2025-01-21,,,0
M000123,2025,2015,10,52,USA,Southeast,Individual,198.27,1,1,4,0,5,1,0,,7,3,0.218,0.044,0,0,0.0,0,0,2025-06-26,,,0
M000124,2025,2014,11,77,USA,Mid-Atlantic,Premium,365.6,0,3,0,1,3,0,0,,0,5,0.166,0.017,0,0,0.0,0,66,2025-11-07,,,1
M000125,2025,2023,2,56,USA,Northeast,Individual,200.43,0,0,2,1,3,0,0,,0,1,0.185,0.031,0,0,0.0,0,7,2025-12-13,,,0
M000126,2025,2023,2,66,USA,Mid-Atlantic,Premium,342.38,1,1,0,0,4,0,0,,0,0,0.162,0.02,0,0,0.0,0,119,2025-08-13,,,0
M000127,2025,2012,13,55,Germany,Mid-Atlantic,Individual,203.24,0,3,3,2,7,0,0,,0,2,0.314,0.09,0,0,0.0,0,6,2025-12-10,,,0
M000128,2025,2016,9,19,USA,Mid-Atlantic,Individual,193.85,1,2,1,2,2,1,0,,4,2,0.212,0.042,0,0,125.77,0,51,2025-11-19,,,0
M000129,2025,2014,11,63,USA,International,Student,55.9,0,2,3,2,2,0,0,,0,4,0.241,0.055,0,0,0.0,0,10,2025-12-27,,,1
M000130,2025,2008,17,34,Australia,Northeast,Retired,89.01,1,4,4,2,4,0,0,,0,2,0.344,0.103,1,0,0.0,0,103,2025-03-21,,,1
M000131,2025,2020,5,59,USA,Southwest,Premium,336.77,0,2,2,0,1,0,0,,0,0,0.181,0.028,0,0,0.0,0,101,2025-11-14,,,0
M000132,2025,2011,14,20,Canada,At-Large,Individual,193.13,0,2,1,2,10,0,0,,0,4,0.232,0.049,0,1,0.0,0,41,2025-10-01,,,0
M000133,2025,2017,8,25,USA,West,Corporate,976.03,1,6,1,3,4,0,0,,0,4,0.313,0.092,0,0,0.0,0,9,2025-11-25,,,0
M000134,2025,2008,17,19,UK,At-Large,Individual,196.85,0,3,0,4,4,0,0,,0,6,0.393,0.128,0,0,0.0,0,53,2025-04-07,,,1
M000135,2025,2018,7,68,USA,Southwest,Corporate,963.36,0,3,1,0,3,1,0,,5,2,0.215,0.044,0,0,27.89,0,85,2025-06-08,,,0
M000136,2025,2015,10,54,USA,Southeast,Nonprofit,477.16,0,2,1,1,4,0,0,,0,0,0.195,0.033,0,1,0.0,0,53,2025-07-10,,,0
M000137,2025,2009,16,73,USA,Southeast,Individual,200.51,1,3,2,1,6,0,0,,0,2,0.276,0.07,0,0,0.0,0,11,2025-10-19,,,1
M000138,2025,2022,3,49,USA,Midwest,Premium,334.82,1,0,2,0,2,0,0,,0,3,0.158,0.017,0,1,0.0,0,107,2025-09-23,,,1
M000139,2025,2015,10,28,USA,Southwest,Individual,201.13,0,3,1,0,2,1,1,Chair,5,5,0.281,0.076,0,0,0.0,0,7,2025-11-10,,,0
M000140,2025,2013,12,40,USA,Northeast,Retired,98.13,1,2,3,1,2,0,0,,0,0,0.09,0.0,0,1,0.0,0,18,2025-12-06,,,0
M000141,2025,2022,3,53,Brazil,West,Individual,203.91,1,1,2,3,3,0,0,,0,1,0.321,0.099,0,0,0.0,0,102,2025-08-07,,,1
M000142,2025,2024,1,49,USA,Mid-Atlantic,Individual,187.39,0,4,2,1,3,0,0,,0,3,0.276,0.077,1,0,0.0,0,85,2025-09-15,,,0
M000143,2025,2023,2,55,USA,Southeast,Premium,338.76,0,1,0,0,2,0,0,,0,2,0.042,0.0,0,1,0.0,0,47,2025-08-16,,,1
M000144,2025,2013,12,37,USA,Southeast,Corporate,991.68,0,2,3,2,2,0,0,,0,7,0.234,0.051,1,0,0.0,0,97,2025-02-18,,,0
M000145,2025,2010,15,30,Canada,Southwest,Corporate,975.76,1,1,2,0,3,0,0,,0,1,0.18,0.023,0,0,111.61,0,79,2025-10-14,,,0
M000146,2025,2015,10,57,USA,At-Large,Individual,193.66,0,2,2,0,1,0,0,,0,2,0.249,0.06,0,0,0.0,0,77,2025-11-21,,,0
M000147,2025,2023,2,21,Canada,International,Retired,98.68,1,1,1,0,2,0,0,,0,3,0.18,0.029,1,0,0.0,1,77,2025-09-04,,,1
M000148,2025,2022,3,76,USA,International,Individual,198.42,0,2,4,1,5,0,0,,0,2,0.168,0.022,0,0,0.0,0,119,2025-06-12,,,1
M000149,2025,2021,4,56,USA,Mid-Atlantic,Premium,348.28,1,2,1,1,6,1,0,,6,4,0.345,0.111,0,0,0.0,0,15,2025-11-08,,,1
M000150,2025,2015,10,57,USA,Northeast,Retired,103.43,0,5,6,3,4,0,0,,0,3,0.335,0.103,0,1,151.66,0,2,2025-06-04,,,0
M000151,2025,2022,3,54,Canada,International,Individual,197.81,0,3,4,0,3,0,0,,0,2,0.135,0.006,0,0,0.0,0,94,2025-06-19,,,0
M000152,2025,2015,10,32,USA,Southwest,Nonprofit,488.57,1,4,2,0,4,0,0,,0,4,0.252,0.061,0,0,0.0,0,84,2025-06-27,,,0
M000153,2025,2015,10,37,India,At-Large,Student,54.28,0,4,4,0,3,0,0,,0,3,0.224,0.047,0,0,40.12,0,33,2025-02-01,,,1
M000154,2025,2017,8,80,USA,Southeast,Nonprofit,471.1,1,0,0,0,0,0,0,,0,3,0.117,0.0,0,1,0.0,0,65,2025-07-02,,,0
M000155,2025,2020,5,22,USA,West,Nonprofit,503.36,0,1,0,3,2,0,0,,0,3,0.169,0.022,0,0,0.0,0,52,2025-09-06,,,1
M000156,2025,2024,1,29,USA,Midwest,Corporate,975.55,1,1,3,1,3,0,0,,0,2,0.144,0.011,1,0,0.0,0,74,2025-02-21,,,1
M000157,2025,2018,7,64,USA,Mid-Atlantic,Individual,199.3,1,3,4,0,1,0,0,,0,3,0.226,0.049,0,0,0.0,0,13,2025-12-22,,,1
M000158,2025,2022,3,73,USA,Southwest,Corporate,950.63,0,1,2,1,2,0,0,,0,4,0.15,0.013,0,1,0.0,0,49,2025-11-21,,,1
M000159,2025,2017,8,61,USA,International,Retired,98.5,1,1,1,1,3,0,0,,0,2,0.238,0.055,0,0,0.0,0,103,2025-05-12,,,0
M000160,2025,2018,7,63,USA,West,Individual,185.37,1,1,1,0,0,0,0,,0,3,0.221,0.047,0,0,0.0,1,47,2025-09-11,,,0
M000161,2025,2010,15,63,USA,Southwest,Individual,205.73,0,2,1,2,1,0,0,,0,6,0.24,0.052,0,0,0.0,0,108,2025-02-23,,,0
M000162,2025,2019,6,45,USA,At-Large,Nonprofit,496.03,0,0,2,1,1,0,0,,0,3,0.205,0.04,0,0,0.0,0,32,2025-07-31,,,1
M000163,2025,2010,15,68,USA,Southwest,Premium,343.91,0,4,1,0,2,0,0,,0,1,0.299,0.082,1,0,0.0,0,25,2025-11-13,,,0
M000164,2025,2010,15,22,USA,Northeast,Individual,207.73,1,3,2,2,6,0,0,,0,0,0.246,0.056,0,2,0.0,0,48,2025-04-07,,,1
M000165,2025,2021,4,59,USA,Southwest,Corporate,976.51,1,3,1,0,0,0,0,,0,2,0.036,0.0,0,0,0.0,0,70,2025-05-16,,,1
M000166,2025,2014,11,58,USA,Midwest,Individual,195.53,1,2,2,1,1,0,0,,0,1,0.227,0.048,0,0,0.0,0,78,2025-11-07,,,1
M000167,2025,2019,6,22,USA,Northeast,Individual,197.3,1,1,1,2,1,0,0,,0,2,0.165,0.02,0,1,0.0,0,62,2025-02-23,,,1
