member_id,renewal_probability,risk_level,action_type,priority,channel,message_template,recommended_offer,timeline
M000446,31.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002756,31.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003731,32.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001351,32.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001705,32.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003339,32.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003512,32.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003918,32.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001726,32.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000726,32.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000652,32.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000828,32.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002187,32.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003185,32.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000995,33.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000430,33.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000645,33.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001752,33.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003490,33.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001568,33.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003485,33.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001127,33.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001817,33.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003637,33.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000121,33.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000733,33.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001566,33.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002000,33.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002069,33.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002225,33.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003860,33.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002757,33.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003033,33.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000113,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000955,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001256,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002253,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002350,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002711,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003013,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003295,33.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001626,33.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002457,33.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003739,33.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002749,34.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001322,34.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002472,34.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002587,34.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000978,34.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000755,34.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001094,34.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001723,34.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002469,34.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002842,34.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003314,34.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003682,34.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000131,34.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000364,34.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000399,34.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000961,34.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002822,34.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000541,34.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001647,34.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001662,34.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000426,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001135,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001523,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001848,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001977,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002479,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002882,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003350,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003462,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003639,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003922,34.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000367,34.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000436,34.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001954,34.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003896,34.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001803,34.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002199,34.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002853,34.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001319,34.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001696,34.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002118,34.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003543,34.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003885,34.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003907,34.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000089,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000118,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001290,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001963,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002825,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003479,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003499,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003995,35.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001360,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001542,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001704,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001739,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001868,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001919,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003368,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003518,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003658,35.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000196,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002058,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003422,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003449,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003625,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003696,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003737,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003834,35.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000174,35.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002008,35.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002282,35.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002400,35.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003293,35.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003641,35.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001062,35.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001368,35.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002918,35.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003408,35.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000990,35.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001960,35.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002566,35.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000419,35.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002416,35.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000036,35.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001393,35.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001628,35.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002878,35.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003496,35.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000831,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001097,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001114,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001433,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001807,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001975,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002610,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002684,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003618,35.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002046,35.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003370,35.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003928,35.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000363,36.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000669,36.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000686,36.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001687,36.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002435,36.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002900,36.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000060,36.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001751,36.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002349,36.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003017,36.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000059,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000825,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002095,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002224,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002524,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002572,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003107,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003958,36.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000287,36.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000816,36.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003800,36.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000826,36.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002109,36.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002523,36.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002797,36.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003117,36.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003224,36.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000234,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000578,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000761,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001043,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001570,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002250,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003065,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003173,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003576,36.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000195,36.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001952,36.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002126,36.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003880,36.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003899,36.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000271,36.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000484,36.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002359,36.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003137,36.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
